,Train Split,Order,MSE,MAPE
0,0.80,"[(0, 0, 0)]",[707.9188167661353],[0.4471792406318853]
1,0.80,"[(0, 0, 1)]",[206.1451876766238],[0.23812125752095703]
2,0.80,"[(0, 1, 0)]",[14.802321192602394],[0.04668299713716933]
3,0.80,"[(0, 1, 1)]",[14.897707405255838],[0.04662954781895507]
4,0.80,"[(0, 1, 2)]",[15.033841402819329],[0.04633782336034347]
5,0.80,"[(0, 2, 0)]",[30.868374057226156],[0.06259168968135687]
6,0.80,"[(0, 2, 1)]",[15.188012713436137],[0.04718688196679721]
7,0.80,"[(1, 0, 0)]",[14.834556387656809],[0.04654546707221434]
8,0.80,"[(1, 0, 1)]",[14.929789381688137],[0.04656653219963965]
9,0.80,"[(1, 0, 2)]",[15.072743800844236],[0.04630475913426122]
10,0.80,"[(1, 1, 0)]",[14.90940222349036],[0.0466129077937476]
11,0.80,"[(1, 2, 0)]",[23.41269775819504],[0.055194746508592574]
12,0.80,"[(1, 2, 1)]",[14.94969917222761],[0.04692112158280189]
13,0.80,"[(1, 2, 2)]",[14.966866055723154],[0.04586168301769529]
14,0.80,"[(2, 0, 0)]",[14.943088646751104],[0.0465583632433571]
15,0.80,"[(2, 0, 1)]",[14.897561689798225],[0.04619053291045411]
16,0.80,"[(2, 0, 2)]",[14.85834274510344],[0.046216241860485154]
17,0.80,"[(2, 1, 0)]",[15.045649221333074],[0.04623927013041999]
18,0.80,"[(2, 1, 1)]",[14.896225335330026],[0.04586504313428538]
19,0.80,"[(2, 2, 0)]",[18.022907832284496],[0.05091276143719826]
20,0.80,"[(2, 2, 2)]",[15.269918272724238],[0.04655026616319971]
21,0.80,"[(3, 0, 0)]",[15.084708837453858],[0.04623306567324056]
22,0.80,"[(3, 0, 1)]",[15.225619244507302],[0.04614737813372405]
23,0.80,"[(3, 0, 2)]",[15.041609322240621],[0.046488396644280824]
24,0.80,"[(3, 1, 0)]",[14.764518170937121],[0.04603048432369072]
25,0.80,"[(3, 1, 1)]",[14.796115878830156],[0.045911530362498953]
26,0.80,"[(3, 1, 2)]",[15.11846776656046],[0.04602472182996658]
27,0.80,"[(3, 2, 0)]",[18.097026940982662],[0.049282997153053454]
28,0.80,"[(3, 2, 1)]",[14.803164719909827],[0.04623260415825114]
29,0.80,"[(4, 0, 0)]",[14.765085687174475],[0.04604609411161731]
30,0.80,"[(4, 0, 1)]",[14.776467831462725],[0.04580071386963818]
31,0.80,"[(4, 0, 2)]",[15.129912540278534],[0.046367928338322914]
32,0.80,"[(4, 1, 0)]",[15.005851276919108],[0.04589537048553273]
33,0.80,"[(4, 1, 1)]",[15.079458988481589],[0.045893182201585885]
34,0.80,"[(4, 1, 2)]",[15.085710159528425],[0.04604612784737337]
35,0.80,"[(4, 2, 0)]",[17.784616638358802],[0.04799853787192376]
36,0.80,"[(4, 2, 1)]",[15.051509972454514],[0.045931284596162476]
37,0.80,"[(4, 2, 2)]",[15.089876415495178],[0.04585415526435753]
38,0.50,"[(0, 0, 0)]",[899.3329397220689],[0.5230418321066045]
39,0.50,"[(0, 0, 1)]",[255.6589140832478],[0.2762853715662463]
40,0.50,"[(0, 1, 0)]",[9.186864302122412],[0.038531909726442805]
41,0.50,"[(0, 1, 1)]",[9.208057415109604],[0.03848079943813586]
42,0.50,"[(0, 1, 2)]",[9.30433056015167],[0.03850711078641107]
43,0.50,"[(0, 2, 0)]",[17.87587048005934],[0.0515146364120833]
44,0.50,"[(0, 2, 1)]",[9.55480934928397],[0.03918277787916498]
45,0.50,"[(1, 0, 0)]",[9.196201831713894],[0.03855078831176678]
46,0.50,"[(1, 0, 1)]",[9.214163126971965],[0.038509722732641624]
47,0.50,"[(1, 0, 2)]",[9.318361374611344],[0.038566793660338175]
48,0.50,"[(1, 1, 0)]",[9.211001611901983],[0.03847230434574718]
49,0.50,"[(1, 2, 0)]",[14.289375178964018],[0.04692053266762559]
50,0.50,"[(1, 2, 1)]",[9.479089676017173],[0.03905243373475867]
51,0.50,"[(1, 2, 2)]",[9.45816163764057],[0.03837937237788404]
52,0.50,"[(2, 0, 0)]",[9.217320960144738],[0.03850114840238628]
53,0.50,"[(2, 0, 1)]",[9.37477865520084],[0.0388617126311471]
54,0.50,"[(2, 0, 2)]",[9.472456809134366],[0.03910479570336183]
55,0.50,"[(2, 1, 0)]",[9.31323265652406],[0.038481880816909744]
56,0.50,"[(2, 1, 1)]",[9.371471698349493],[0.03835067875274869]
57,0.50,"[(2, 2, 0)]",[11.700902909674138],[0.04380005238375578]
58,0.50,"[(3, 0, 0)]",[9.32996756975888],[0.038565216718873]
59,0.50,"[(3, 0, 1)]",[9.608831500893832],[0.03906404174445978]
60,0.50,"[(3, 0, 2)]",[9.502657662212485],[0.038859951391964555]
61,0.50,"[(3, 1, 0)]",[9.218822676103755],[0.038472344603482866]
62,0.50,"[(3, 1, 1)]",[9.333691990105015],[0.03835506047550579]
63,0.50,"[(3, 1, 2)]",[9.465708517393614],[0.038442729095328705]
64,0.50,"[(3, 2, 0)]",[11.390601585681285],[0.04173202349732726]
65,0.50,"[(3, 2, 1)]",[9.469383604687552],[0.03889282824069641]
66,0.50,"[(4, 0, 0)]",[9.226008613701138],[0.03861370795955601]
67,0.50,"[(4, 0, 1)]",[9.426265982106369],[0.038889955800709176]
68,0.50,"[(4, 0, 2)]",[9.575664056249998],[0.03917910016808577]
69,0.50,"[(4, 1, 0)]",[9.325989097464818],[0.03832561744919158]
70,0.50,"[(4, 1, 1)]",[9.456742251636037],[0.03822037653364252]
71,0.50,"[(4, 1, 2)]",[9.512745678895945],[0.03837972873420661]
72,0.50,"[(4, 2, 0)]",[11.15803259705402],[0.04080968217284408]
73,0.50,"[(4, 2, 1)]",[9.499737473910194],[0.03862079350650252]
74,0.50,"[(4, 2, 2)]",[9.615919270120639],[0.03862638606277224]
75,0.65,"[(0, 0, 0)]",[580.7325587834234],[0.3849850942100211]
76,0.65,"[(0, 0, 1)]",[167.34925364100445],[0.2038455119587364]
77,0.65,"[(0, 1, 0)]",[10.855260488483243],[0.03911503193705974]
78,0.65,"[(0, 1, 1)]",[10.892913481498672],[0.03903519321500673]
79,0.65,"[(0, 1, 2)]",[11.015705053118324],[0.038916320838577885]
80,0.65,"[(0, 2, 0)]",[21.671349318581736],[0.05224404191495755]
81,0.65,"[(0, 2, 1)]",[11.11722559187685],[0.0394883991528815]
82,0.65,"[(1, 0, 0)]",[10.846706241152527],[0.03902489601162033]
83,0.65,"[(1, 0, 1)]",[10.881561863819702],[0.03896198156345737]
84,0.65,"[(1, 0, 2)]",[11.010489691523304],[0.03885527603619358]
85,0.65,"[(1, 1, 0)]",[10.898168094010519],[0.03902185975967949]
86,0.65,"[(1, 2, 0)]",[17.082951183326198],[0.0465698844681634]
87,0.65,"[(1, 2, 1)]",[10.959502102020606],[0.03928542822321834]
88,0.65,"[(1, 2, 2)]",[10.978455906940804],[0.038586299198194327]
89,0.65,"[(2, 0, 0)]",[10.887399332539562],[0.038948164747849526]
90,0.65,"[(2, 0, 1)]",[10.895673895300742],[0.038741160877783926]
91,0.65,"[(2, 0, 2)]",[10.922637479813973],[0.03887703017077148]
92,0.65,"[(2, 1, 0)]",[11.02586385000788],[0.03886196314973372]
93,0.65,"[(2, 1, 1)]",[10.957787569780077],[0.038658306250460184]
94,0.65,"[(2, 2, 0)]",[13.546043223268374],[0.04308028916156982]
95,0.65,"[(2, 2, 2)]",[11.188352845060672],[0.03917382641547656]
96,0.65,"[(3, 0, 0)]",[11.021326271245677],[0.03882028681797735]
97,0.65,"[(3, 0, 1)]",[11.131976294023],[0.03882674838473276]
98,0.65,"[(3, 0, 2)]",[10.962288620483582],[0.038846280475358146]
99,0.65,"[(3, 1, 0)]",[10.868241068545354],[0.03876573967568936]
100,0.65,"[(3, 1, 1)]",[10.887776571910091],[0.03867154638890641]
101,0.65,"[(3, 1, 2)]",[11.091313899459374],[0.03876109896829763]
102,0.65,"[(3, 2, 0)]",[13.194115124430622],[0.041525528735737095]
103,0.65,"[(3, 2, 1)]",[10.924263958254457],[0.03891899896093676]
104,0.65,"[(4, 0, 0)]",[10.84186165568813],[0.03877055951485597]
105,0.65,"[(4, 0, 1)]",[10.860805336855108],[0.03862885495219721]
106,0.65,"[(4, 0, 2)]",[11.083141263016763],[0.03895231047545832]
107,0.65,"[(4, 1, 0)]",[10.970422433293765],[0.03868703731141709]
108,0.65,"[(4, 1, 1)]",[11.036458716032895],[0.038590489055906285]
109,0.65,"[(4, 1, 2)]",[11.08684141809965],[0.038697976219633945]
110,0.65,"[(4, 2, 0)]",[12.875832416372775],[0.04071426972410387]
111,0.65,"[(4, 2, 1)]",[11.026503431029951],[0.0387365640885171]
112,0.65,"[(4, 2, 2)]",[11.11362618834431],[0.03868448556425224]
