Date,Close,Open,High,Low,Vol.,Change %
2007-08-05,71.47,75.04,75.1,70.1,1.34M,-5.31%
2007-08-12,71.98,71.47,74.23,70.1,1.22M,0.71%
2007-08-19,71.09,71.77,71.77,68.63,734.82K,-1.24%
2007-08-26,74.04,71.04,74.44,70.2,928.10K,4.15%
2007-09-02,76.7,73.9,77.43,73.48,1.00M,3.59%
2007-09-09,79.1,76.46,80.36,75.52,1.39M,3.13%
2007-09-16,81.62,79.03,83.9,78.25,1.01M,3.19%
2007-09-23,81.66,81.3,83.76,78.44,1.38M,0.05%
2007-09-30,81.22,81.75,82.02,78.87,1.20M,-0.54%
2007-10-07,83.69,81.11,84.05,78.35,1.34M,3.04%
2007-10-14,88.6,83.91,90.07,83.5,1.28M,5.87%
2007-10-21,91.86,88.86,92.22,84.68,1.22M,3.68%
2007-10-28,95.93,91.72,96.24,88.92,1.59M,4.43%
2007-11-04,96.32,95.93,98.62,93.72,1.71M,0.41%
2007-11-11,95.1,96.01,96.2,90.13,1.39M,-1.27%
2007-11-18,98.18,93.88,99.29,93.16,896.44K,3.24%
2007-11-25,88.71,98.28,99.11,88.45,1.56M,-9.65%
2007-12-02,88.28,88.79,90.73,85.82,1.45M,-0.48%
2007-12-09,91.27,88.27,94.85,87.09,1.48M,3.39%
2007-12-16,93.31,91.43,93.84,88.88,736.12K,2.24%
2007-12-23,96.0,93.58,97.92,92.5,468.02K,2.88%
2007-12-30,97.91,96.12,100.09,94.73,808.76K,1.99%
2008-01-06,92.69,97.79,98.4,92.31,1.50M,-5.33%
2008-01-13,90.57,92.92,94.43,89.26,1.30M,-2.29%
2008-01-20,90.71,90.58,91.38,86.11,914.41K,0.15%
2008-01-27,88.96,90.62,92.71,88.46,1.32M,-1.93%
2008-02-03,91.77,88.66,91.98,86.24,1.41M,3.16%
2008-02-10,95.5,91.76,96.67,90.92,1.37M,4.06%
2008-02-17,98.81,95.37,101.32,95.23,811.09K,3.47%
2008-02-24,101.84,98.99,103.05,97.75,1.25M,3.07%
2008-03-02,105.15,101.63,106.54,98.87,1.69M,3.25%
2008-03-09,110.21,105.25,111.0,104.08,1.65M,4.81%
2008-03-16,101.84,110.1,111.8,98.65,911.52K,-7.59%
2008-03-23,105.62,101.7,108.22,99.13,1.40M,3.71%
2008-03-30,106.23,105.12,106.78,99.55,1.48M,0.58%
2008-04-06,110.14,106.12,112.21,105.86,1.47M,3.68%
2008-04-13,116.69,110.0,117.0,109.56,1.15M,5.95%
2008-04-20,118.52,116.93,119.9,114.25,1.04M,1.57%
2008-04-27,116.32,118.95,119.93,110.3,1.40M,-1.86%
2008-05-04,125.96,116.5,126.27,116.05,1.69M,8.29%
2008-05-11,126.29,125.84,127.82,120.75,1.72M,0.26%
2008-05-18,132.19,126.35,135.09,125.28,1.38M,4.67%
2008-05-25,127.35,131.68,133.65,124.67,1.43M,-3.66%
2008-06-01,138.54,127.63,139.12,121.61,1.78M,8.79%
2008-06-08,134.86,137.97,138.3,130.8,1.80M,-2.66%
2008-06-15,134.62,134.41,139.89,131.19,1.06M,-0.18%
2008-06-22,140.21,134.8,142.99,131.95,1.34M,4.15%
2008-06-29,145.29,140.6,145.85,139.17,939.42K,3.62%
2008-07-06,145.08,144.27,147.27,135.14,1.61M,-0.14%
2008-07-13,128.88,144.69,146.73,128.23,1.53M,-11.17%
2008-07-20,123.26,128.88,132.07,122.5,956.65K,-4.36%
2008-07-27,125.1,123.41,128.6,120.42,1.33M,1.49%
2008-08-03,115.2,125.98,126.35,114.62,1.52M,-7.91%
2008-08-10,113.77,115.2,117.46,111.34,1.47M,-1.24%
2008-08-17,114.59,113.94,122.04,111.64,958.02K,0.72%
2008-08-24,115.46,114.69,120.5,112.36,1.24M,0.76%
2008-08-31,106.23,116.65,118.6,105.13,1.15M,-7.99%
2008-09-07,101.18,107.75,109.89,99.99,1.57M,-4.75%
2008-09-14,104.55,101.0,105.25,90.51,1.43M,3.33%
2008-09-21,106.89,104.97,130.0,103.22,1.00M,2.24%
2008-09-28,93.88,106.89,106.91,91.3,1.24M,-12.17%
2008-10-05,77.7,92.5,93.02,77.09,1.58M,-17.23%
2008-10-12,71.85,80.12,84.83,68.57,1.12M,-7.53%
2008-10-19,64.15,72.16,76.12,62.65,944.99K,-10.72%
2008-10-26,67.81,64.78,70.6,61.3,1.31M,5.71%
2008-11-02,61.04,67.37,71.77,59.97,1.37M,-9.98%
2008-11-09,57.04,61.8,65.56,54.67,1.37M,-6.55%
2008-11-16,49.93,56.74,58.98,48.25,941.20K,-12.46%
2008-11-23,54.43,50.97,55.98,48.8,834.07K,9.01%
2008-11-30,40.81,54.62,54.62,40.5,1.23M,-25.02%
2008-12-07,46.28,41.64,49.12,41.55,1.50M,13.40%
2008-12-14,33.87,46.77,50.05,32.4,811.15K,-26.82%
2008-12-21,37.71,42.79,43.44,35.13,453.27K,11.34%
2008-12-28,46.34,38.4,46.74,36.94,661.14K,22.89%
2009-01-04,40.83,47.04,50.47,39.38,1.49M,-11.89%
2009-01-11,36.51,40.55,40.8,33.2,1.20M,-10.58%
2009-01-18,46.47,36.14,47.0,32.7,892.11K,27.28%
2009-01-25,41.68,46.05,48.59,40.18,1.36M,-10.31%
2009-02-01,40.17,41.75,42.68,38.6,1.51M,-3.62%
2009-02-08,37.51,39.88,42.43,33.55,1.60M,-6.62%
2009-02-15,38.94,37.81,39.85,34.13,335.67K,3.81%
2009-02-22,44.76,39.73,45.3,37.65,1.41M,14.95%
2009-03-01,45.52,44.34,46.3,39.44,1.34M,1.70%
2009-03-08,46.25,45.76,48.83,42.08,1.56M,1.60%
2009-03-15,51.06,45.2,52.25,43.62,702.27K,10.40%
2009-03-22,52.38,52.13,54.66,51.62,1.10M,2.59%
2009-03-29,52.51,52.25,53.9,47.26,1.18M,0.25%
2009-04-05,52.24,52.4,53.6,47.37,1.13M,-0.51%
2009-04-12,50.33,52.0,52.15,48.84,1.14M,-3.66%
2009-04-19,51.55,50.16,51.75,43.83,810.64K,2.42%
2009-04-26,53.2,51.45,53.65,48.01,1.14M,3.20%
2009-05-03,58.63,52.62,58.75,52.56,1.47M,10.21%
2009-05-10,56.34,58.49,60.08,56.07,1.38M,-3.91%
2009-05-17,61.67,56.47,62.26,56.12,869.41K,9.46%
2009-05-24,66.31,61.5,66.64,59.53,1.07M,7.52%
2009-05-31,68.44,66.48,70.32,64.95,1.46M,3.21%
2009-06-07,72.04,68.32,73.23,66.78,1.49M,5.26%
2009-06-14,69.55,72.2,72.77,68.9,1.07M,-3.46%
2009-06-21,69.16,69.89,71.29,66.25,1.02M,-0.56%
2009-06-28,66.73,69.25,73.38,66.26,1.11M,-3.51%
2009-07-05,59.89,66.49,67.17,58.72,1.43M,-10.25%
2009-07-12,63.56,59.86,63.99,58.32,1.32M,6.13%
2009-07-19,68.05,63.38,68.2,63.19,1.02M,7.06%
2009-07-26,69.45,68.05,69.74,62.7,1.59M,2.06%
2009-08-02,70.93,69.3,72.84,69.09,1.61M,2.13%
2009-08-09,67.51,70.67,72.21,67.12,1.68M,-4.82%
2009-08-16,73.89,67.69,74.72,65.23,856.18K,9.45%
2009-08-23,72.74,73.75,75.0,69.83,1.30M,-1.56%
2009-08-30,68.02,71.0,73.36,67.05,1.35M,-6.49%
2009-09-06,69.29,67.87,72.9,67.54,1.43M,1.87%
2009-09-13,72.04,69.15,73.16,68.02,1.24M,3.97%
2009-09-20,66.02,71.78,72.2,65.05,1.15M,-8.36%
2009-09-27,69.95,66.15,71.39,65.41,1.51M,5.95%
2009-10-04,71.77,69.81,72.55,68.05,1.73M,2.60%
2009-10-11,78.53,72.24,78.75,72.05,1.51M,9.42%
2009-10-18,80.5,78.56,82.0,77.64,1.16M,2.51%
2009-10-25,77.0,79.65,81.58,76.85,1.87M,-4.35%
2009-11-01,77.43,77.02,81.06,76.55,1.76M,0.56%
2009-11-08,76.35,77.87,80.51,75.57,1.74M,-1.39%
2009-11-15,76.72,76.58,80.33,76.2,1.14M,0.48%
2009-11-22,76.05,77.8,79.92,72.39,1.43M,-0.87%
2009-11-29,75.47,76.05,79.04,74.85,1.77M,-0.76%
2009-12-06,69.87,75.8,76.1,69.46,2.06M,-7.42%
2009-12-13,73.36,69.63,74.69,68.59,1.13M,4.99%
2009-12-20,78.05,73.05,78.25,71.99,530.89K,6.39%
2009-12-27,79.36,77.92,80.0,77.76,522.43K,1.68%
2010-01-03,82.75,79.63,83.52,79.63,1.45M,4.27%
2010-01-10,78.0,82.88,83.95,77.7,1.51M,-5.74%
2010-01-17,74.54,77.85,79.15,74.01,903.80K,-4.44%
2010-01-24,72.89,74.24,75.42,72.43,1.52M,-2.21%
2010-01-31,71.19,72.84,78.04,69.5,2.16M,-2.33%
2010-02-07,74.13,72.18,75.69,70.77,2.00M,4.13%
2010-02-14,79.81,74.02,80.1,73.71,1.11M,7.66%
2010-02-21,79.66,80.1,80.51,77.05,1.31M,-0.19%
2010-02-28,81.5,79.84,82.07,78.06,1.49M,2.31%
2010-03-07,81.24,81.79,83.16,80.16,1.67M,-0.32%
2010-03-14,80.68,81.13,83.09,79.13,1.21M,-0.69%
2010-03-21,80.0,80.93,82.2,78.57,1.22M,-0.84%
2010-03-28,84.87,80.24,85.37,80.18,1.16M,6.09%
2010-04-04,84.92,85.31,87.09,84.12,1.75M,0.06%
2010-04-11,83.24,85.17,86.39,82.51,1.94M,-1.98%
2010-04-18,85.12,82.92,85.19,80.53,1.34M,2.26%
2010-04-25,86.15,85.22,86.5,81.29,1.99M,1.21%
2010-05-02,75.11,86.2,87.15,74.51,2.54M,-12.81%
2010-05-09,71.61,76.11,78.51,70.83,2.27M,-4.66%
2010-05-16,70.04,71.79,72.52,64.24,1.17M,-2.19%
2010-05-23,73.97,70.62,75.72,67.15,1.90M,5.61%
2010-05-30,71.51,73.97,75.42,70.73,1.72M,-3.33%
2010-06-06,73.78,70.35,76.3,69.51,2.13M,3.17%
2010-06-13,77.18,74.06,78.13,74.04,1.41M,4.61%
2010-06-20,78.86,77.5,79.19,75.17,1.09M,2.18%
2010-06-27,72.14,79.0,79.38,71.62,1.57M,-8.52%
2010-07-04,76.09,72.06,76.48,71.09,1.21M,5.48%
2010-07-11,76.01,76.3,78.15,74.25,1.63M,-0.11%
2010-07-18,78.98,75.72,79.6,75.5,1.14M,3.91%
2010-07-25,78.95,78.98,79.69,75.9,1.56M,-0.04%
2010-08-01,80.7,78.95,82.97,78.83,1.52M,2.22%
2010-08-08,75.39,80.91,81.76,75.01,1.79M,-6.58%
2010-08-15,73.46,75.6,76.63,73.19,988.60K,-2.56%
2010-08-22,75.17,73.9,75.59,70.76,1.78M,2.33%
2010-08-29,74.6,75.5,75.58,71.53,1.85M,-0.76%
2010-09-05,76.45,74.3,76.73,72.63,1.57M,2.48%
2010-09-12,73.66,76.36,78.04,72.75,1.61M,-3.65%
2010-09-19,76.49,73.59,76.68,72.81,1.10M,3.84%
2010-09-26,81.58,76.47,81.75,75.52,1.79M,6.65%
2010-10-03,82.66,81.68,84.43,80.3,1.86M,1.32%
2010-10-10,81.25,82.95,84.12,80.75,1.58M,-1.71%
2010-10-17,81.69,81.38,83.28,79.25,1.05M,0.54%
2010-10-24,81.43,82.01,83.28,80.52,1.59M,-0.32%
2010-10-31,86.85,81.45,87.43,81.32,1.67M,6.66%
2010-11-07,84.88,87.39,88.63,84.52,1.97M,-2.27%
2010-11-14,81.51,84.87,85.77,80.06,1.30M,-3.97%
2010-11-21,83.76,82.15,84.53,80.28,1.14M,2.76%
2010-11-28,89.19,83.9,89.49,83.55,1.70M,6.48%
2010-12-05,87.79,89.44,90.76,87.1,1.81M,-1.57%
2010-12-12,88.02,87.68,89.49,86.83,1.34M,0.26%
2010-12-19,91.51,88.18,91.63,87.26,552.76K,3.97%
2010-12-26,91.38,91.07,92.06,89.02,707.24K,-0.14%
2011-01-02,88.03,91.31,92.58,87.25,1.94M,-3.67%
2011-01-09,91.54,89.0,92.39,88.13,1.91M,3.99%
2011-01-16,89.11,91.51,92.1,88.0,635.23K,-2.65%
2011-01-23,89.34,89.26,89.73,85.11,2.00M,0.26%
2011-01-30,89.03,89.97,92.84,88.4,1.79M,-0.35%
2011-02-06,85.58,89.06,89.54,85.1,1.91M,-3.88%
2011-02-13,86.2,85.5,87.88,83.85,1.23M,0.72%
2011-02-20,97.88,86.33,103.41,86.25,1.34M,13.55%
2011-02-27,104.42,98.5,105.17,96.37,1.78M,6.68%
2011-03-06,101.16,104.65,106.95,99.01,1.95M,-3.12%
2011-03-13,101.07,100.31,103.66,96.22,1.52M,-0.09%
2011-03-20,105.4,102.12,106.69,101.43,884.12K,4.28%
2011-03-27,107.94,105.43,108.47,102.7,1.28M,2.41%
2011-04-03,112.79,108.29,113.21,107.5,1.39M,4.49%
2011-04-10,109.66,113.28,113.46,105.31,1.95M,-2.78%
2011-04-17,112.29,109.43,112.48,105.5,707.27K,2.40%
2011-04-24,113.93,112.34,114.18,110.71,1.29M,1.46%
2011-05-01,97.18,113.89,114.83,94.63,2.22M,-14.70%
2011-05-08,99.65,98.11,104.6,95.25,2.32M,2.54%
2011-05-15,99.49,99.36,100.99,95.02,1.20M,-0.16%
2011-05-22,100.59,99.68,101.9,96.37,1.54M,1.11%
2011-05-29,100.22,100.69,103.39,98.12,1.44M,-0.37%
2011-06-05,99.29,100.42,102.44,97.74,1.91M,-0.93%
2011-06-12,93.01,98.77,99.95,91.84,1.82M,-6.32%
2011-06-19,91.16,92.8,95.7,89.69,1.30M,-1.99%
2011-06-26,94.94,91.16,95.84,89.61,1.45M,4.15%
2011-07-03,96.2,94.98,99.42,94.34,1.25M,1.33%
2011-07-10,97.24,96.1,99.21,93.55,1.68M,1.08%
2011-07-17,99.87,97.37,100.19,94.69,894.54K,2.70%
2011-07-24,95.7,99.76,100.62,94.95,1.36M,-4.18%
2011-07-31,86.88,96.2,98.6,82.87,2.13M,-9.22%
2011-08-07,85.38,85.71,87.37,75.71,2.50M,-1.73%
2011-08-14,82.26,85.59,89.0,79.17,1.49M,-3.65%
2011-08-21,85.37,82.42,86.59,81.13,1.32M,3.78%
2011-08-28,86.45,85.33,89.9,85.11,1.43M,1.27%
2011-09-04,87.24,86.46,90.48,83.2,1.32M,0.91%
2011-09-11,87.96,86.7,90.52,85.0,1.56M,0.83%
2011-09-18,79.85,87.75,87.99,77.55,1.35M,-9.22%
2011-09-25,79.2,79.64,84.77,77.11,1.64M,-0.81%
2011-10-02,82.98,78.92,84.0,74.95,1.92M,4.77%
2011-10-09,86.8,82.75,87.42,82.75,1.56M,4.60%
2011-10-16,87.4,87.48,89.51,84.1,870.90K,0.69%
2011-10-23,93.32,87.05,94.65,87.0,1.99M,6.77%
2011-10-30,94.26,93.53,94.93,89.17,1.44M,1.01%
2011-11-06,98.99,94.4,99.4,93.23,1.71M,5.02%
2011-11-13,97.41,99.3,103.37,96.64,1.32M,-1.60%
2011-11-20,96.77,97.54,98.7,94.99,1.07M,-0.66%
2011-11-27,100.96,97.5,101.75,97.13,1.46M,4.33%
2011-12-04,99.41,101.23,102.44,97.36,1.45M,-1.54%
2011-12-11,93.53,99.58,101.25,92.52,1.52M,-5.91%
2011-12-18,99.68,93.76,100.23,92.54,616.74K,6.58%
2011-12-25,98.83,99.92,101.77,98.3,596.87K,-0.85%
2012-01-01,101.56,99.7,103.74,99.65,1.13M,2.76%
2012-01-08,98.7,101.92,103.41,97.7,1.62M,-2.82%
2012-01-15,98.46,98.95,102.06,97.91,746.50K,-0.24%
2012-01-22,99.56,98.34,101.39,97.4,1.32M,1.12%
2012-01-29,97.84,100.0,101.29,95.44,1.53M,-1.73%
2012-02-05,98.67,97.74,100.18,95.84,1.63M,0.85%
2012-02-12,103.24,99.33,104.14,99.09,1.19M,4.63%
2012-02-19,109.77,104.65,109.95,104.26,867.68K,6.33%
2012-02-26,106.7,109.67,110.55,104.84,1.60M,-2.80%
2012-03-04,107.4,106.75,108.2,104.35,1.49M,0.66%
2012-03-11,107.06,107.5,107.56,103.78,1.36M,-0.32%
2012-03-18,106.87,107.18,108.25,104.5,945.14K,-0.18%
2012-03-25,103.02,106.79,107.73,102.13,1.24M,-3.60%
2012-04-01,103.31,103.27,105.49,101.08,1.07M,0.28%
2012-04-08,102.83,102.53,104.24,100.68,1.30M,-0.46%
2012-04-15,103.05,102.8,105.07,101.67,840.27K,0.21%
2012-04-22,104.93,103.82,105.0,101.82,1.06M,1.82%
2012-04-29,98.49,104.93,106.43,97.51,1.47M,-6.14%
2012-05-06,96.13,98.05,98.24,95.17,1.51M,-2.40%
2012-05-13,91.48,95.79,95.83,90.93,1.34M,-4.84%
2012-05-20,90.86,91.27,93.06,89.28,795.57K,-0.68%
2012-05-27,83.23,91.0,92.21,82.29,1.31M,-8.40%
2012-06-03,84.1,82.96,87.03,81.21,1.51M,1.05%
2012-06-10,84.03,85.72,86.64,81.07,1.49M,-0.08%
2012-06-17,79.76,85.09,85.6,77.56,1.03M,-5.08%
2012-06-24,84.96,80.2,85.34,77.28,1.50M,6.52%
2012-07-01,84.45,84.65,88.98,82.1,1.30M,-0.60%
2012-07-08,87.1,84.2,87.61,83.65,1.36M,3.14%
2012-07-15,91.44,87.13,92.94,86.41,803.78K,4.98%
2012-07-22,90.13,91.61,91.64,86.84,1.33M,-1.43%
2012-07-29,91.4,90.14,91.74,86.92,1.36M,1.41%
2012-08-05,92.87,91.34,94.72,90.63,1.21M,1.61%
2012-08-12,96.01,93.25,96.28,92.05,1.14M,3.38%
2012-08-19,96.15,96.36,98.29,95.02,793.20K,0.15%
2012-08-26,96.47,96.67,97.72,93.95,1.06M,0.33%
2012-09-02,96.42,96.38,97.71,94.08,1.11M,-0.05%
2012-09-09,99.0,96.24,100.42,95.34,1.23M,2.68%
2012-09-16,92.89,99.15,99.52,90.66,848.69K,-6.17%
2012-09-23,92.19,93.18,93.2,88.95,1.15M,-0.75%
2012-09-30,89.88,92.15,93.33,87.7,1.30M,-2.51%
2012-10-07,91.86,89.85,93.66,88.21,1.38M,2.20%
2012-10-14,90.05,91.63,93.05,89.79,1.04M,-1.97%
2012-10-21,86.28,89.52,90.8,84.94,1.05M,-4.19%
2012-10-28,84.86,86.43,87.42,84.66,959.02K,-1.65%
2012-11-04,86.07,84.65,89.22,84.05,1.57M,1.43%
2012-11-11,86.67,86.19,87.01,84.57,1.11M,0.70%
2012-11-18,88.28,87.3,89.8,86.17,895.63K,1.86%
2012-11-25,88.91,88.21,88.99,85.36,1.10M,0.71%
2012-12-02,85.93,88.85,90.33,85.68,1.18M,-3.35%
2012-12-09,86.73,85.98,87.68,85.21,1.18M,0.93%
2012-12-16,88.66,86.88,90.54,86.48,645.68K,2.23%
2012-12-23,90.8,88.6,91.49,88.2,474.26K,2.41%
2012-12-30,93.09,90.41,93.87,90.0,723.95K,2.52%
2013-01-06,93.56,93.21,94.7,92.42,1.10M,0.50%
2013-01-13,95.56,93.74,96.04,92.95,1.04M,2.14%
2013-01-20,95.88,95.25,96.92,94.95,772.87K,0.33%
2013-01-27,97.77,96.04,98.24,95.47,1.13M,1.97%
2013-02-03,95.72,97.72,97.76,95.04,1.17M,-2.10%
2013-02-10,95.86,95.79,98.11,94.97,1.17M,0.15%
2013-02-17,93.13,95.97,97.07,92.44,639.29K,-2.85%
2013-02-24,90.68,93.23,94.46,90.04,1.12M,-2.63%
2013-03-03,91.95,90.71,92.03,89.33,1.14M,1.40%
2013-03-10,93.45,91.83,93.84,90.89,1.08M,1.63%
2013-03-17,93.71,93.26,94.09,91.76,692.56K,0.28%
2013-03-24,97.23,93.72,97.35,93.7,867.16K,3.76%
2013-03-31,92.7,97.36,97.8,91.91,1.33M,-4.66%
2013-04-07,91.29,93.02,94.82,90.27,1.24M,-1.52%
2013-04-14,88.01,90.95,90.98,85.61,1.27M,-3.59%
2013-04-21,93.0,87.96,93.87,87.55,1.09M,5.67%
2013-04-28,95.61,92.7,96.04,90.11,1.43M,2.81%
2013-05-05,96.04,95.58,97.17,93.37,1.43M,0.45%
2013-05-12,96.02,95.76,96.45,92.13,1.41M,-0.02%
2013-05-19,94.15,95.93,97.11,92.21,982.74K,-1.95%
2013-05-26,91.97,93.89,95.92,91.56,1.10M,-2.32%
2013-06-02,96.03,91.73,96.39,91.26,1.46M,4.41%
2013-06-09,97.85,96.09,98.25,94.04,1.20M,1.90%
2013-06-16,93.69,97.85,99.01,93.12,867.35K,-4.25%
2013-06-23,96.56,93.85,97.82,92.67,1.39M,3.06%
2013-06-30,103.22,96.58,103.68,96.07,1.12M,6.90%
2013-07-07,105.95,103.95,107.45,102.13,1.50M,2.64%
2013-07-14,108.05,106.05,109.32,104.65,992.85K,1.98%
2013-07-21,104.7,108.34,108.79,103.9,1.03M,-3.10%
2013-07-28,106.94,104.61,108.82,102.67,1.26M,2.14%
2013-08-04,105.97,106.84,107.69,102.22,1.40M,-0.91%
2013-08-11,107.46,105.84,108.17,105.03,1.24M,1.41%
2013-08-18,106.42,107.78,107.8,103.5,866.14K,-0.97%
2013-08-25,107.65,106.91,112.24,105.56,1.29M,1.16%
2013-09-01,110.53,107.07,110.7,104.21,967.15K,2.68%
2013-09-08,108.21,110.28,110.46,106.39,1.29M,-2.10%
2013-09-15,104.68,107.5,108.99,104.32,966.73K,-3.26%
2013-09-22,102.87,104.89,105.12,102.2,1.14M,-1.73%
2013-09-29,103.84,102.46,104.38,101.05,1.14M,0.94%
2013-10-06,102.02,103.45,104.08,100.6,1.34M,-1.75%
2013-10-13,100.81,101.37,102.97,100.03,1.03M,-1.19%
2013-10-20,97.85,100.63,100.95,95.95,919.12K,-2.94%
2013-10-27,94.61,97.88,98.82,94.36,1.22M,-3.31%
2013-11-03,94.6,94.52,95.4,93.07,1.23M,-0.01%
2013-11-10,93.84,94.45,95.38,92.51,1.38M,-0.80%
2013-11-17,94.84,93.78,95.63,92.43,808.33K,1.07%
2013-11-24,92.72,94.15,94.69,91.77,805.12K,-2.24%
2013-12-01,97.65,92.71,98.07,92.56,1.32M,5.32%
2013-12-08,96.6,97.66,98.75,96.26,1.19M,-1.08%
2013-12-15,99.32,96.55,99.4,96.21,567.20K,2.82%
2013-12-22,100.32,99.2,100.75,98.53,352.01K,1.01%
2013-12-29,93.96,100.15,100.42,93.86,699.03K,-6.34%
2014-01-05,92.72,94.18,94.59,91.24,1.12M,-1.32%
2014-01-12,94.37,92.83,94.94,91.43,1.00M,1.78%
2014-01-19,96.64,94.0,97.84,93.43,801.73K,2.41%
2014-01-26,97.49,96.9,98.59,95.21,1.09M,0.88%
2014-02-02,99.88,97.4,100.24,96.26,1.24M,2.45%
2014-02-09,100.3,100.05,101.38,99.11,1.26M,0.42%
2014-02-16,102.2,100.32,103.8,100.23,503.06K,1.89%
2014-02-23,102.59,102.29,103.45,101.02,936.36K,0.38%
2014-03-02,102.58,103.0,105.22,100.13,1.29M,-0.01%
2014-03-09,98.89,102.75,102.82,97.55,1.43M,-3.60%
2014-03-16,99.46,99.39,100.82,97.37,755.38K,0.58%
2014-03-23,101.67,99.49,102.24,98.8,948.62K,2.22%
2014-03-30,101.14,101.69,101.97,98.86,1.03M,-0.52%
2014-04-06,103.74,100.91,104.44,99.92,1.36M,2.57%
2014-04-13,104.3,103.56,104.99,102.91,923.80K,0.54%
2014-04-20,100.6,104.54,104.77,100.48,836.11K,-3.55%
2014-04-27,99.76,100.49,102.2,98.74,1.18M,-0.83%
2014-05-04,99.99,99.96,101.18,98.91,1.26M,0.23%
2014-05-11,102.02,100.12,102.65,99.93,1.12M,2.03%
2014-05-18,104.35,102.13,104.5,101.97,761.30K,2.28%
2014-05-25,102.71,104.34,104.5,102.4,788.76K,-1.57%
2014-06-01,102.66,102.92,103.69,101.6,925.95K,-0.05%
2014-06-08,106.91,102.78,107.68,102.62,1.27M,4.14%
2014-06-15,107.26,106.88,107.73,105.32,788.81K,0.33%
2014-06-22,105.74,107.42,107.5,105.03,924.44K,-1.42%
2014-06-29,104.06,105.69,106.09,103.67,847.02K,-1.59%
2014-07-06,100.83,104.06,104.2,100.44,1.20M,-3.10%
2014-07-13,103.13,100.46,103.94,99.01,1.34M,2.28%
2014-07-20,102.09,102.97,105.25,101.0,910.15K,-1.01%
2014-07-27,97.88,101.87,102.1,97.09,1.33M,-4.12%
2014-08-03,97.65,97.67,98.67,96.55,1.26M,-0.23%
2014-08-10,97.35,97.54,98.58,95.26,1.36M,-0.31%
2014-08-17,93.65,97.1,97.16,92.5,707.27K,-3.80%
2014-08-24,95.96,93.34,96.0,93.05,985.87K,2.47%
2014-08-31,93.29,95.81,95.91,92.68,1.13M,-2.78%
2014-09-07,92.27,93.49,93.94,90.43,1.55M,-1.09%
2014-09-14,92.41,92.13,95.19,90.63,1.12M,0.15%
2014-09-21,93.54,92.22,93.86,90.58,1.06M,1.22%
2014-09-28,89.74,93.35,94.9,88.18,1.87M,-4.06%
2014-10-05,85.82,89.77,90.74,83.59,1.69M,-4.37%
2014-10-12,82.75,85.2,85.87,79.78,1.85M,-3.58%
2014-10-19,81.01,83.13,84.05,80.05,1.09M,-2.10%
2014-10-26,80.54,81.27,82.88,79.44,1.36M,-0.58%
2014-11-02,78.65,80.59,80.98,75.84,1.87M,-2.35%
2014-11-09,75.82,78.5,79.85,73.25,1.80M,-3.60%
2014-11-16,76.51,75.93,77.83,73.88,885.52K,0.91%
2014-11-23,66.15,76.62,77.02,65.69,1.30M,-13.54%
2014-11-30,65.84,66.0,69.54,63.72,1.67M,-0.47%
2014-12-07,57.81,65.46,65.55,57.34,1.92M,-12.20%
