Date,Close Prices,"ARIMA_50.0_(0, 1, 1)_Predictions",LSTM_80.0_Predictions
1/19/2015,48.79,47.6,
1/26/2015,52.99,48.73,
2/2/2015,57.8,52.96,
2/9/2015,57.39,57.81,
2/16/2015,60.22,57.34,
2/23/2015,62.58,60.21,
3/2/2015,59.73,62.57,
3/9/2015,54.67,59.66,
3/16/2015,55.32,54.56,
3/23/2015,56.41,55.28,
3/30/2015,54.95,56.38,
4/6/2015,57.87,54.88,
4/13/2015,63.45,57.86,
4/20/2015,65.28,63.49,
4/27/2015,66.46,65.28,
5/4/2015,65.39,66.46,
5/11/2015,66.57,65.35,
5/18/2015,65.37,66.57,
5/25/2015,65.56,65.33,
6/1/2015,63.31,65.54,
6/8/2015,63.87,63.25,
6/15/2015,63.02,63.85,
6/22/2015,63.26,62.98,
6/29/2015,62.07,63.24,
7/6/2015,58.73,62.02,
7/13/2015,57.52,58.64,
7/20/2015,54.62,57.46,
7/27/2015,52.21,54.53,
8/3/2015,48.61,52.12,
8/10/2015,49.03,48.49,
8/17/2015,45.46,48.98,
8/24/2015,50.05,45.33,
8/31/2015,49.61,50.06,
9/7/2015,48.14,49.54,
9/14/2015,47.47,48.06,
9/21/2015,48.6,47.4,
9/28/2015,48.13,48.56,
10/5/2015,52.65,48.06,
10/12/2015,48.73,52.66,
10/19/2015,47.99,48.62,
10/26/2015,49.56,47.92,
11/2/2015,47.42,49.52,
11/9/2015,43.61,47.33,
11/16/2015,44.66,43.49,
11/23/2015,44.86,44.6,
11/30/2015,43,44.79,
12/7/2015,37.93,42.91,
12/14/2015,36.88,37.78,
12/21/2015,37.89,36.78,
12/28/2015,37.28,37.82,
1/4/2016,33.55,37.19,
1/11/2016,31.01,33.41,
1/18/2016,32.18,30.88,
1/25/2016,34.74,32.1,
2/1/2016,34.06,34.69,
2/8/2016,33.36,33.96,
2/15/2016,33.01,33.26,
2/22/2016,35.1,32.91,
2/29/2016,38.72,35.04,
3/7/2016,40.39,38.7,
3/14/2016,41.2,40.34,
3/21/2016,40.44,41.14,
3/28/2016,39.66,40.35,
4/4/2016,41.94,39.57,
4/11/2016,43.1,41.91,
4/18/2016,45.11,43.05,
4/25/2016,48.13,45.08,
5/2/2016,45.37,48.13,
5/9/2016,47.83,45.26,
5/16/2016,48.72,47.81,
5/23/2016,49.32,48.68,
5/30/2016,49.64,49.27,
6/6/2016,50.54,49.59,
6/13/2016,49.17,50.5,
6/20/2016,48.41,49.09,
6/27/2016,49.84,48.34,
7/4/2016,46.76,49.81,
7/11/2016,47.61,46.65,
7/18/2016,45.69,47.57,
7/25/2016,42.46,45.6,
8/1/2016,44.27,42.34,
8/8/2016,46.97,44.23,
8/15/2016,50.88,46.95,
8/22/2016,49.92,50.9,
8/29/2016,46.83,49.85,
9/5/2016,48.01,46.72,
9/12/2016,45.77,47.97,
9/19/2016,45.89,45.67,
9/26/2016,49.06,45.83,
10/3/2016,51.93,49.06,
10/10/2016,51.95,51.93,
10/17/2016,51.78,51.9,
10/24/2016,49.71,51.73,
10/31/2016,45.58,49.62,
11/7/2016,44.75,45.44,
11/14/2016,46.86,44.67,
11/21/2016,47.24,46.84,
11/28/2016,54.46,47.19,
12/5/2016,54.33,54.56,
12/12/2016,55.21,54.28,
12/19/2016,55.16,55.19,
12/26/2016,56.13,55.12,
1/2/2017,57.1,56.11,
1/9/2017,55.45,57.08,
1/16/2017,55.49,55.38,
1/23/2017,55.52,55.45,
1/30/2017,56.81,55.48,
2/6/2017,56.7,56.8,
2/13/2017,55.81,56.66,
2/20/2017,55.99,55.76,
2/27/2017,55.9,55.96,
3/6/2017,51.37,55.86,
3/13/2017,51.76,51.24,
3/20/2017,50.8,51.72,
3/27/2017,52.83,50.73,
4/3/2017,55.24,52.82,
4/10/2017,55.89,55.25,
4/17/2017,51.96,55.86,
4/24/2017,51.73,51.84,
5/1/2017,49.1,51.68,
5/8/2017,50.84,49,53.03
5/15/2017,53.61,50.83,50.68
5/22/2017,52.15,53.62,52.03
5/29/2017,49.95,52.08,54.84
6/5/2017,48.15,49.86,53.57
6/12/2017,47.37,48.06,51.45
6/19/2017,45.54,47.3,49.66
6/26/2017,47.92,45.45,48.81
7/3/2017,46.71,47.92,47.19
7/10/2017,48.91,46.63,49.08
7/17/2017,48.06,48.9,48.26
7/24/2017,52.52,47.99,50.08
7/31/2017,52.42,52.56,49.51
8/7/2017,52.1,52.37,53.7
8/14/2017,52.72,52.05,53.74
8/21/2017,52.41,52.69,53.42
8/28/2017,52.32,52.36,54
9/4/2017,53.78,52.28,53.74
9/11/2017,55.62,53.77,53.63
9/18/2017,56.86,55.62,55.05
9/25/2017,57.54,56.85,56.96
10/2/2017,55.62,57.52,58.26
10/9/2017,57.17,55.55,58.98
10/16/2017,57.75,57.17,57.07
10/23/2017,60.44,57.73,58.62
10/30/2017,62.07,60.46,59.2
11/6/2017,63.52,62.08,62.14
11/13/2017,62.72,63.53,63.76
11/20/2017,63.86,62.68,65.29
11/27/2017,63.49,63.86,64.31
12/4/2017,63.4,63.46,65.67
12/11/2017,63.23,63.38,65.12
12/18/2017,65.25,63.21,65.08
12/25/2017,66.6,65.27,64.89
1/1/2018,67.62,66.61,67.19
1/8/2018,69.87,67.63,68.4
1/15/2018,68.61,69.9,69.39
1/22/2018,70.52,68.57,71.81
1/29/2018,68.58,70.55,70.03
2/5/2018,62.79,68.53,72.46
2/12/2018,64.84,62.66,69.94
2/19/2018,67.31,64.86,64.22
2/26/2018,64.37,67.34,66.91
3/5/2018,65.49,64.3,69.27
3/12/2018,66.21,65.49,65.79
3/19/2018,70.45,66.21,67.39
3/26/2018,70.27,70.52,67.95
4/2/2018,67.11,70.26,72.78
4/9/2018,72.58,67.04,71.72
4/16/2018,74.06,72.66,68.45
4/23/2018,74.64,74.08,75.29
4/30/2018,74.87,74.65,75.59
5/7/2018,77.12,74.87,76.13
5/14/2018,78.51,77.16,76.32
5/21/2018,76.44,78.54,78.85
5/28/2018,77.59,76.41,79.98
6/4/2018,76.46,77.61,77.47
6/11/2018,73.44,76.44,79.16
6/18/2018,75.55,73.39,77.63
6/25/2018,79.44,75.59,74.51
7/2/2018,77.11,79.51,77.4
7/9/2018,75.33,77.08,81.33
7/16/2018,73.07,75.3,78.04
7/23/2018,74.29,73.03,76.52
7/30/2018,73.21,74.31,74.27
8/6/2018,72.81,73.19,76.01
8/13/2018,71.83,72.8,74.5
8/20/2018,75.82,71.81,74.28
8/27/2018,77.42,75.88,73.23
9/3/2018,76.83,77.45,77.98
9/10/2018,78.09,76.82,78.91
9/17/2018,78.8,78.12,78.06
9/24/2018,82.72,78.82,79.63
10/1/2018,84.16,82.8,80.18
10/8/2018,80.43,84.2,84.52
10/15/2018,79.78,80.38,85.47
10/22/2018,77.62,79.78,81.16
10/29/2018,72.83,77.59,81.03
11/5/2018,70.18,72.74,78.65
11/12/2018,66.76,70.12,73.75
11/19/2018,58.8,66.67,71.52
11/26/2018,58.71,58.58,68.13
12/3/2018,61.67,58.69,60.52
12/10/2018,60.28,61.72,60.27
12/17/2018,53.82,60.22,63.5
12/24/2018,52.2,53.62,61.8
12/31/2018,57.06,52.12,55.66
1/7/2019,60.48,57.16,53.58
1/14/2019,62.7,60.55,58.61
1/21/2019,61.64,62.74,62.13
1/28/2019,61.87,61.59,64.45
2/4/2019,62.1,61.86,63.19
2/11/2019,66.25,62.09,63.54
2/18/2019,67.12,66.36,63.76
2/25/2019,66.01,67.13,68.52
3/4/2019,65.74,65.96,68.78
3/11/2019,67.16,65.72,67.56
3/18/2019,67.03,67.19,67.42
3/25/2019,68.39,67.01,69.04
4/1/2019,70.34,68.42,68.65
4/8/2019,71.55,70.39,70.24
4/15/2019,71.97,71.58,72.21
4/22/2019,72.15,71.98,73.24
4/29/2019,70.85,72.15,73.54
5/6/2019,70.62,70.8,73.7
5/13/2019,72.21,70.61,72.23
5/20/2019,68.69,72.25,72.2
5/27/2019,64.49,68.58,74.01
6/3/2019,63.29,64.35,69.89
6/10/2019,62.01,63.24,65.91
6/17/2019,65.2,61.95,64.94
6/24/2019,66.55,65.29,63.61
7/1/2019,64.23,66.58,67.32
7/8/2019,66.72,64.14,68.31
7/15/2019,62.47,66.79,65.71
7/22/2019,63.46,62.32,68.82
7/29/2019,61.89,63.47,63.91
8/5/2019,58.53,61.82,65.31
8/12/2019,58.64,58.41,63.44
8/19/2019,59.34,58.62,60.08
8/26/2019,60.43,59.34,60.17
9/2/2019,61.54,60.44,60.89
9/9/2019,60.22,61.55,62.04
9/16/2019,64.28,60.16,63.21
9/23/2019,61.91,64.38,61.76
9/30/2019,58.37,61.82,66.46
10/7/2019,60.51,58.25,63.38
10/14/2019,59.42,60.55,59.92
10/21/2019,62.02,59.37,62.25
10/28/2019,60.21,62.07,60.93
11/4/2019,62.51,60.14,63.87
11/11/2019,63.3,62.55,61.73
11/18/2019,63.39,63.3,64.38
11/25/2019,62.43,63.37,64.99
12/2/2019,64.39,62.39,65.06
12/9/2019,65.22,64.42,64.03
12/16/2019,66.14,65.23,66.31
12/23/2019,68.16,66.15,66.95
12/30/2019,68.6,68.2,67.92
1/6/2020,64.98,68.6,70.09
1/13/2020,64.85,64.87,70.25
1/20/2020,60.69,64.83,66.37
1/27/2020,58.16,60.56,66.6
2/3/2020,54.47,58.07,62.21
2/10/2020,57.32,54.34,59.69
2/17/2020,58.5,57.37,56.02
2/24/2020,50.52,58.51,58.83
3/2/2020,45.27,50.28,59.98
3/9/2020,33.85,45.07,52.77
3/16/2020,26.98,33.37,47.33
3/23/2020,24.93,26.62,37.86
3/30/2020,34.11,24.77,28.97
4/6/2020,31.48,34.47,25.32
4/13/2020,28.08,31.29,34.62
4/20/2020,21.44,27.87,33.44
4/27/2020,25.29,21.06,29.53
5/4/2020,30.97,25.39,21.64
5/11/2020,32.5,31.16,25.08
5/18/2020,35.13,32.5,31.8
5/25/2020,35.33,35.19,33.72
6/1/2020,42.3,35.28,36.21
6/8/2020,38.73,42.58,36.83
6/15/2020,42.19,38.51,43.22
6/22/2020,41.02,42.3,41.03
6/29/2020,43.14,40.92,43.33
7/6/2020,43.24,43.18,42.82
7/13/2020,43.14,43.2,44.42
7/20/2020,43.34,43.09,44.78
7/27/2020,43.3,43.3,44.69
8/3/2020,44.4,43.25,44.84
8/10/2020,44.8,44.4,44.84
8/17/2020,44.35,44.77,45.77
8/24/2020,45.05,44.29,46.24
8/31/2020,42.66,45.04,45.9
9/7/2020,39.83,42.52,46.43
9/14/2020,43.15,39.67,44.56
9/21/2020,41.92,43.24,41.9
9/28/2020,39.27,41.82,44.3
10/5/2020,42.85,39.12,43.7
10/12/2020,42.93,42.95,41.33
10/19/2020,41.77,42.88,43.98
10/26/2020,37.46,41.68,44.49
11/2/2020,39.45,37.24,43.52
11/9/2020,42.78,39.48,39.87
11/16/2020,44.96,42.86,40.75
11/23/2020,48.18,45,43.97
11/30/2020,49.25,48.27,46.23
12/7/2020,49.97,49.25,49.31
12/14/2020,52.26,49.96,50.51
12/21/2020,51.29,52.32,51.23
12/28/2020,51.34,51.21,53.46
1/4/2021,55.99,51.31,52.67
1/11/2021,55.1,56.16,52.63
1/18/2021,55.41,55.03,57.41
1/25/2021,55.88,55.4,56.49
2/1/2021,59.34,55.87,56.77
2/8/2021,62.43,59.46,57.26
2/15/2021,62.91,62.54,61
2/22/2021,66.13,62.91,64.24
3/1/2021,69.36,66.25,64.55
3/8/2021,69.22,69.49,68.24
3/15/2021,64.53,69.2,71.4
3/22/2021,64.57,64.31,70.74
3/29/2021,64.86,64.57,65.89
4/5/2021,62.95,64.86,66.36
4/12/2021,66.77,62.85,66.58
4/19/2021,66.11,66.93,64.49
4/26/2021,67.25,66.06,69.08
5/3/2021,68.28,67.29,67.63
5/10/2021,68.71,68.31,69.1
5/17/2021,66.44,68.72,70.05
5/24/2021,69.63,66.33,70.38
5/31/2021,71.89,69.76,67.87
6/7/2021,72.69,71.98,71.86
6/14/2021,73.51,72.72,73.71
6/21/2021,76.18,73.54,74.26
6/28/2021,76.17,76.29,75.1
7/5/2021,75.55,76.17,78
7/12/2021,73.59,75.52,77.48
7/19/2021,74.1,73.51,76.85
7/26/2021,76.33,74.12,74.79
8/2/2021,70.7,76.43,75.69
8/9/2021,70.59,70.46,78.07
8/16/2021,65.18,70.59,71.59
8/23/2021,72.7,64.94,72.3
8/30/2021,72.61,72.98,66.47
9/6/2021,72.92,72.59,76.03
9/13/2021,75.34,72.93,73.89
9/20/2021,78.09,75.43,74.47
9/27/2021,79.28,78.19,77.16
10/4/2021,82.39,79.33,79.81
10/11/2021,84.86,82.52,80.69
10/18/2021,85.53,84.96,84.06
10/25/2021,84.38,85.57,86.32
11/1/2021,82.74,84.35,86.75
11/8/2021,82.17,82.69,85.41
11/15/2021,78.89,82.16,83.75
11/22/2021,72.72,78.77,83.35
11/29/2021,69.88,72.47,79.74
12/6/2021,75.15,69.76,73.53
12/13/2021,73.52,75.37,71.23
12/20/2021,76.85,73.44,77.7
12/27/2021,79.2,76.99,74.63
1/3/2022,81.75,79.29,78.85
1/10/2022,86.06,81.86,80.78
1/17/2022,87.89,86.25,83.32
1/24/2022,90.03,87.98,87.77
1/31/2022,93.27,90.14,89.17
2/7/2022,94.44,93.43,91.32
2/14/2022,93.54,94.51,94.5
2/21/2022,97.93,93.52,95.36
2/28/2022,118.11,98.15,94.34
3/7/2022,112.67,119.22,98.85
3/14/2022,107.93,112.47,116.45
3/21/2022,120.65,107.78,110.09
3/28/2022,107.67,121.19,106.56
4/4/2022,102.78,107.47,116.83
4/11/2022,111.7,102.7,106.34
4/18/2022,106.65,111.94,102.44
4/25/2022,109.34,106.61,109.97
5/2/2022,112.39,109.42,105.56
5/9/2022,111.55,112.48,107.81
5/16/2022,112.55,111.58,110
5/23/2022,119.43,112.61,109.29
5/30/2022,119.72,119.6,110.06
6/6/2022,122.01,119.78,115.34
6/13/2022,113.12,122.11,115.34
6/20/2022,113.12,113.05,117.18
6/27/2022,115.09,113.17,110.39
6/28/2022,118.24,115.17,110.45
